year,title,description,category,date,link_url,link_text
2024,統計學 - 寶可夢數據圖鑑：性能、捕捉機率與屬性分析,分析寶可夢的性能、捕捉機率與屬性，並進行統計分析。,專案/報告,DEC 17,https://drive.google.com/file/d/1PB_oHKquR9RriLVlPurTEY0YkI8Dnoyf/view?usp=sharing,報告連結
2024,管理學 - Starbucks 個案分析,我負責撰寫在地文化整合章節，分析特色門市、在地商品與社區活動，探討如何透過空間設計與文化連結強化顧客體驗與品牌忠誠度。,專案/報告,DEC 16,https://drive.google.com/file/d/1sIdcOskdiY8p7qMBqLPOiu5pVuvVW-03/view?usp=sharing,報告連結
2024,工程圖學期末Revit專案 - 保健中心,參考心理系館舊有模糊平面圖、立面圖紙，前往實體建築勘查與測量，利用Revit建模，並引用 Revit library 元件。,專案/報告,DEC 11,https://drive.google.com/file/d/1e4gtLNcUlz4GAOByYqNZkmknPDhpAGWP/view?usp=sharing,簡報連結
2024,土木工程概念設計 - Stratus 53,設計並實做了一個水上風力發電的塔的模型。期末成果展有拿獎ㄝ(海報設計)，開心。,專案/報告,DEC 10,https://docs.google.com/presentation/d/1R40Gp3j07HSpDe6-EdPLaE3h86Y5FfXo/edit?usp=sharing&ouid=104004360489768057704&rtpof=true&sd=true,展示簡報連結
2024,2024臺灣設計展在臺南,期中考後的獨旅，給自己放個假，逃離台北。,日常,NOV 03,,
2024,工程圖學期中SketchUp專案 - 心理系南北館,利用 3D Warehouse 模型庫的心理系館模型進行修改，並增加自己對心理系館改造的想法，例如:草地變成滯洪池、荒廢的戶外平台變成休憩空間。,專案/報告,OCT 16,https://drive.google.com/file/d/1v7FCpZPg5nMOlm5X2lJHMybUXKhsdJMp/view?usp=sharing,簡報連結
2024,2024 秋OUT,在公館，讀到天黑從咖啡廳出來，跑去公館水岸蹭免費舞台，聽到趙奕帆了開心。,日常,SEP 29,,
2024,資管服學高中生組 -大學生輔導助教,為期一學期，一對一輔導高中生，從零開始學習C++，練習寫程式、考APCS。,學業,SEP 20,https://docs.google.com/document/d/1duMosg1w6Lw5CnTLc0lp4LK-PQUld6c84w3Rb6ozO7c/edit?usp=sharing,服學心得
2024,校內工讀 - 開始擔任女八網管,協助宿舍住戶註冊宿舍網路、架設路由器、處理網路連線異常、速度過慢、舍胞們觸發資安事件等問題。,工作經歷,SEP 01,,
2024,2024 JAM JAM ASIA,在北流，大二剛開學就跑音樂祭，第二次去大型音樂祭，用文化幣買了雙日票，有冷氣的音樂祭好舒服。,日常,SEP 07,,
2024,大二 - 開啟土木系實作課探索之旅,申請輔修土木系成功了，跑去土木系上看看開給土木大一新生的實作課。,學業,SEP 01,,
2024,青幫 - 年會工人,當帶高中生的隊輔，和高中生一起度過年會這兩天,工作經歷,AUG 10,,
2024,大一暑假 - 小琉球打工換宿,練習社交、聊天，聽不同的故事，當bartender學一點調酒，看海、攝影。,日常,JUN 24,,
2024,北美館 - 摩登生活台灣建築展、許雨仁回顧展,很喜歡看建築的展，雖然我沒有任何專業，但看到那些建築師們的創作，還是覺得很厲害。,日常,JUN 11,,
2024,北師美術館 - 戰鬥之城,動畫很有趣，第一次看到這種畫風，但我沒看懂其深意。台灣街道模型做得很細緻很厲害。,日常,JUN 11,,
2024,2024大港開唱,第一次去大型音樂祭，買了雙日票和毛巾，看到草東現場，我死而無憾了，萬分後悔沒有去買個貼紙貼在筆電上。,日常,MAR 31,,
2024,大一寒假 - 雲嘉會新塭國小返鄉服務隊,雲嘉會的人都沒認識幾個，不知道哪來的勇氣就報名參加了。第一次去返鄉服務隊，第一次寫教案，跟一群大學生去小學教小朋友，很累、很開心。,學業,JUN 24,,
2023,台北跨年、101煙火,第一次去台北市政府人擠人看現場表演，下午就去卡位了，看到101煙火了。,日常,DEC 31,,
2023,北流 - 唱 我們的歌 流行音樂故事展,大一寒假獨旅第二站--台北流行音樂中心 - 唱 我們的歌 流行音樂故事展,日常,DEC 28,,
2023,爬象山,大一寒假獨旅第一站--象山,日常,DEC 27,,
2023,資管新生專題 - 電子商務分析報告,發現自己什麼都不會、幫不上忙，貢獻度極低拖累同學，只負責寫了兩個客群的商業策略。,專案/報告,DEC 17,https://drive.google.com/file/d/1dnQc4Ot5YhC5YXK7S7LqwYMJBbBe-RBj/view?usp=sharing,報告連結
2023,程式設計 - BBBLUE 格格不入 C++ 遊戲,程設是我大一最挫折的課程，不斷懷疑自己憑什麼錄取資管系。,專案/報告,DEC 10,https://youtu.be/2pElUXNK9GM?si=pAaPlTSnSRIn4tc1,遊戲Demo影片
2023,諸羅搖滾,第一次被開圈衝擊到，免費的音樂祭一定要到的吧，就算期中考要爆炸了也要去。,日常,OCT 10,,
2023,青幫 - 高中組輔導志工,回饋青幫，開始擔任輔導志工，幫忙面試、審查會、年會等等。,工作經歷,SEP 16,,
2023,大一新生,開始撞牆期(學業、生活、人際關係)，不斷的適應新的環境、新的生活、新的學習方式。,學業,SEP 01,,
2023,北漂開始,離鄉背井去台北讀大學，踏上新大地，開啟挑戰。,日常,AUG 28,,
2023,高中畢業，不再是高中生了,嘉女數理班畢業，同學們各奔前程。,學業,JUN 01,,
2023,學測讀書策略分享-國英數A自,學校輔導室邀請我和同學分享學測讀書策略給即將升高三的學妹們。,學業,MAY 01,https://youtu.be/CtHuvXcLXj4?si=PySsM0JxfPFNBXQ4,分享影片
2023,五月天演唱會,人生第一場演唱會，第一次進到高雄巨蛋，達成考完學測要去看演唱會的Flag。,日常,APR 02,,
2022,希望入學錄取資管系,希望入學錄取台大資管與土木，進入資管系。,學業,DEC 26,,
